name,nodes,edges,terminals,distances time, copy time, dreyfus-wagner time,time,result
i160-001,72,148,7,0,0,0,0,2079
i160-002,81,153,7,0,0,0,0,2158
i160-003,68,136,6,0,0,0,0,1796
i160-004,79,152,7,0,0,0,0.001,2077
i160-005,86,158,7,0,0,0,0.001,2088
i160-011,160,812,7,0.002,0,0,0.003,1677
i160-012,159,811,7,0.002,0,0,0.003,1750
i160-013,160,812,7,0.002,0,0,0.003,1661
i160-014,160,812,7,0.002,0,0,0.003,1778
i160-015,160,812,7,0.002,0,0,0.003,1768
i160-021,160,12711,7,0.009,0,0,0.009,1352
i160-022,160,12711,7,0.009,0,0,0.009,1365
i160-023,160,12709,7,0.009,0,0,0.01,1351
i160-024,160,12709,7,0.009,0,0,0.009,1371
i160-025,160,12710,7,0.009,0,0,0.009,1366
i160-031,122,279,7,0.001,0,0,0.001,1968
i160-032,126,283,7,0.002,0,0,0.004,1834
i160-033,117,271,7,0.001,0,0,0.001,2101
i160-034,117,272,7,0.001,0,0,0.001,2083
i160-035,121,279,7,0.001,0,0,0.001,2103
i160-041,160,2544,7,0.004,0,0,0.005,1494
i160-042,160,2544,7,0.004,0,0,0.005,1486
i160-043,160,2543,7,0.004,0,0,0.005,1549
i160-044,160,2544,7,0.004,0,0,0.005,1478
i160-045,160,2544,7,0.004,0,0,0.005,1554
i160-101,79,149,11,0,0,0.007,0.008,2967
i160-102,74,149,11,0,0,0.005,0.006,3345
i160-103,78,150,11,0,0,0.005,0.007,2654
i160-104,87,164,12,0,0.001,0.029,0.03,3559
i160-105,74,141,11,0,0,0.005,0.006,2679
i160-111,159,810,12,0.002,0.002,0.043,0.048,2869
i160-112,160,812,12,0.002,0.002,0.025,0.03,2924
i160-113,159,811,12,0.002,0.002,0.043,0.048,2866
i160-114,160,812,12,0.002,0.002,0.025,0.029,2989
i160-115,160,812,12,0.002,0.002,0.025,0.029,2937
i160-121,160,12686,12,0.008,0.002,0.025,0.036,2363
i160-122,160,12680,12,0.009,0.002,0.025,0.036,2348
i160-123,160,12680,12,0.008,0.002,0.025,0.036,2355
i160-124,160,12680,12,0.008,0.002,0.025,0.036,2352
i160-125,160,12693,12,0.008,0.002,0.025,0.036,2351
i160-131,120,278,12,0.001,0.001,0.03,0.033,3356
i160-132,117,269,12,0.001,0.001,0.035,0.037,3450
i160-133,126,283,12,0.001,0.001,0.028,0.031,3393
i160-134,121,277,12,0.001,0.001,0.036,0.038,3073
i160-135,125,280,12,0.002,0.002,0.036,0.042,3322
i160-141,160,2541,12,0.004,0.002,0.025,0.031,2549
i160-142,160,2538,12,0.004,0.002,0.025,0.032,2562
i160-143,160,2543,12,0.004,0.002,0.025,0.031,2557
i160-144,160,2544,12,0.004,0.002,0.025,0.031,2607
i160-145,160,2542,12,0.004,0.002,0.025,0.031,2578
