name,nodes,edges,terminals,nodes',edges',terminals',time,result
i160-001,160,240,7,72,148,7,0.003,2490
i160-002,160,240,7,81,153,7,0.001,2158
i160-003,160,240,7,68,136,6,0.000,2297
i160-004,160,240,7,79,152,7,0.001,2370
i160-005,160,240,7,86,158,7,0.002,2495
i160-011,160,812,7,160,812,7,0.007,1677
i160-012,160,812,7,159,811,7,0.006,1750
i160-013,160,812,7,160,812,7,0.010,1661
i160-014,160,812,7,160,812,7,0.006,1778
i160-015,160,812,7,160,812,7,0.011,1768
i160-021,160,12720,7,160,12711,7,0.007,1352
i160-022,160,12720,7,160,12711,7,0.007,1365
i160-023,160,12720,7,160,12709,7,0.006,1351
i160-024,160,12720,7,160,12709,7,0.007,1371
i160-025,160,12720,7,160,12710,7,0.007,1366
i160-031,160,320,7,122,279,7,0.005,2170
i160-032,160,320,7,126,283,7,0.001,2330
i160-033,160,320,7,117,271,7,0.004,2101
i160-034,160,320,7,117,272,7,0.003,2083
i160-035,160,320,7,121,279,7,0.002,2103
i160-041,160,2544,7,160,2544,7,0.006,1494
i160-042,160,2544,7,160,2544,7,0.006,1486
i160-043,160,2544,7,160,2543,7,0.007,1549
i160-044,160,2544,7,160,2544,7,0.008,1478
i160-045,160,2544,7,160,2544,7,0.006,1554
i160-101,160,240,12,79,149,11,0.018,3859
i160-102,160,240,12,74,149,11,0.029,3747
i160-103,160,240,12,78,150,11,0.008,3837
i160-104,160,240,12,87,164,12,0.013,4063
i160-105,160,240,12,74,141,11,0.012,3563
i160-111,160,812,12,159,810,12,0.532,2869
i160-112,160,812,12,160,812,12,0.580,2924
i160-113,160,812,12,159,811,12,0.561,2866
i160-114,160,812,12,160,812,12,0.492,2989
i160-115,160,812,12,160,812,12,0.509,2937
i160-121,160,12720,12,160,12686,12,0.636,2363
i160-122,160,12720,12,160,12680,12,0.641,2348
i160-123,160,12720,12,160,12680,12,0.644,2355
i160-124,160,12720,12,160,12680,12,0.648,2352
i160-125,160,12720,12,160,12693,12,0.656,2351
i160-131,160,320,12,120,278,12,0.202,3356
i160-132,160,320,12,117,269,12,0.071,3450
i160-133,160,320,12,126,283,12,0.195,3585
i160-134,160,320,12,121,277,12,0.050,3470
i160-135,160,320,12,125,280,12,0.095,3716
i160-141,160,2544,12,160,2541,12,0.649,2549
i160-142,160,2544,12,160,2538,12,0.636,2562
i160-143,160,2544,12,160,2543,12,0.618,2557
i160-144,160,2544,12,160,2544,12,0.588,2607
i160-145,160,2544,12,160,2542,12,0.581,2578
