name,nodes,edges,terminals,time
i160-001,160,240,7,0.004
i160-002,160,240,7,0.002
i160-003,160,240,7,0.002
i160-004,160,240,7,0.002
i160-005,160,240,7,0.004
i160-011,160,812,7,0.010
i160-012,160,812,7,0.004
i160-013,160,812,7,0.004
i160-014,160,812,7,0.005
i160-015,160,812,7,0.005
i160-021,160,12720,7,0.010
i160-022,160,12720,7,0.010
i160-023,160,12720,7,0.010
i160-024,160,12720,7,0.011
i160-025,160,12720,7,0.010
i160-031,160,320,7,0.005
i160-032,160,320,7,0.002
i160-033,160,320,7,0.006
i160-034,160,320,7,0.002
i160-035,160,320,7,0.004
i160-041,160,2544,7,0.007
i160-042,160,2544,7,0.008
i160-043,160,2544,7,0.008
i160-044,160,2544,7,0.011
i160-045,160,2544,7,0.008
i160-101,160,240,12,0.036
i160-102,160,240,12,0.071
i160-103,160,240,12,0.021
i160-104,160,240,12,0.020
i160-105,160,240,12,0.032
i160-111,160,812,12,0.492
i160-112,160,812,12,0.530
i160-113,160,812,12,0.518
i160-114,160,812,12,0.472
i160-115,160,812,12,0.478
i160-121,160,12720,12,0.606
i160-122,160,12720,12,0.609
i160-123,160,12720,12,0.596
i160-124,160,12720,12,0.582
i160-125,160,12720,12,0.594
i160-131,160,320,12,0.224
i160-132,160,320,12,0.078
i160-133,160,320,12,0.201
i160-134,160,320,12,0.056
i160-135,160,320,12,0.095
i160-141,160,2544,12,0.599
i160-142,160,2544,12,0.565
i160-143,160,2544,12,0.548
i160-144,160,2544,12,0.543
i160-145,160,2544,12,0.551
